	Replicate	Dep Power (W)	O2 Flow (sccm)	Dep Press (mTorr)	Dep Temp (°C)	Ox Temp (°C)	Ox Press (atm)	Ox Time (min)	Vac Ann Temp (°C)	Vac Ann Time (min)	Dep Thickness (nm)	Batch	Dep Rate (nm/min)	Dep Time (min)	min	sec	Hall mobility (cm^2/V*s)	Carrier concentration (#/cm^3)
15	2	27	6	4.5	25	649.3	0.02	62.7	362.2	46.5	6.2	Batch 1	3	2.066667	2	4	8.91	3.17E+19
15	3	27	6	4.5	25	649.3	0.02	62.7	362.2	46.5	6.2	Batch 1	3	2.066667	2	4	8.94	3.26E+19
16	1	2	18.5	9.5	425	392.1	1	34.7	790.5	62.7	4.4	Batch 1	0.06	73.33333	73	20	<Contact Fail>	<Contact Fail>
16	2	2	18.5	9.5	425	392.1	1	34.7	790.5	62.7	4.4	Batch 1	0.06	73.33333	73	20	<Contact Fail>	<Contact Fail>
16	3	2	18.5	9.5	425	392.1	1	34.7	790.5	62.7	4.4	Batch 1	0.06	73.33333	73	20	<Contact Fail>	<Contact Fail>
17	1	0	5.4	2.1	25	790.9	0.02	10.8	322.7	85.6	5.7	Batch 1	0	#DIV/0!	#DIV/0!	#DIV/0!	<Contact Fail>	<Contact Fail>
17	2	0	5.4	2.1	25	790.9	0.02	10.8	322.7	85.6	5.7	Batch 1	0	#DIV/0!	#DIV/0!	#DIV/0!	<Contact Fail>	<Contact Fail>
17	3	0	5.4	2.1	25	790.9	0.02	10.8	322.7	85.6	5.7	Batch 1	0	#DIV/0!	#DIV/0!	#DIV/0!	<Contact Fail>	<Contact Fail>
18	1	26	17.9	7.9	425	243	1	102.5	757.3	37.6	3.5	Batch 1	1.8	1.944444	1	57	<Contact Fail>	<Contact Fail>
18	2	26	17.9	7.9	425	243	1	102.5	757.3	37.6	3.5	Batch 1	1.8	1.944444	1	57	<Contact Fail>	<Contact Fail>
18	3	26	17.9	7.9	425	243	1	102.5	757.3	37.6	3.5	Batch 1	1.8	1.944444	1	57	<Contact Fail>	<Contact Fail>
19	1	37	0.8	5.2	25	497.4	1	43.8	512.8	6.1	1.9	Batch 1	4.3	0.44186	0	27	2.28	2.36E+20
19	2	37	0.8	5.2	25	497.4	1	43.8	512.8	6.1	1.9	Batch 1	4.3	0.44186	0	27	2.49	2.01E+20
19	3	37	0.8	5.2	25	497.4	1	43.8	512.8	6.1	1.9	Batch 1	4.3	0.44186	0	27	2.47	2.12E+20
20	1	12	12.8	8.8	425	539	0.02	68.2	178.3	110.4	8.6	Batch 1	0.7	12.28571	12	17	7.28	2.50E+19
20	2	12	12.8	8.8	425	539	0.02	68.2	178.3	110.4	8.6	Batch 1	0.7	12.28571	12	17	7.66	2.74E+19
20	3	12	12.8	8.8	425	539	0.02	68.2	178.3	110.4	8.6	Batch 1	0.7	12.28571	12	17	7.67	2.59E+19
21	1	17	3.1	6.1	425	576.5	0.02	54.5	454.7	24.7	5.4	Batch 1	1.7	3.176471	3	11	7.48	5.16E+19
21	2	17	3.1	6.1	425	576.5	0.02	54.5	454.7	24.7	5.4	Batch 1	1.7	3.176471	3	11	7.37	4.56E+19
21	3	17	3.1	6.1	425	576.5	0.02	54.5	454.7	24.7	5.4	Batch 1	1.7	3.176471	3	11	7.67	4.95E+19
22	1	32	10.7	3.9	25	384.9	1	86.4	116.8	98.5	7.2	Batch 1	3.6	2	2	0	5.58	1.28E+20
22	2	32	10.7	3.9	25	384.9	1	86.4	116.8	98.5	7.2	Batch 1	3.6	2	2	0	4.98	1.38E+20
22	3	32	10.7	3.9	25	384.9	1	86.4	116.8	98.5	7.2	Batch 1	3.6	2	2	0	4.89	1.38E+20
23	1	21	8.1	9.1	425	280.5	1	30	263.1	67.1	9	Batch 1	1.5	6	6	0	0.92	5.01E+19
23	2	21	8.1	9.1	425	280.5	1	30	263.1	67.1	9	Batch 1	1.5	6	6	0	1.01	3.87E+19
23	3	21	8.1	9.1	425	280.5	1	30	263.1	67.1	9	Batch 1	1.5	6	6	0	1.01	3.34E+19
