sheet,sample,run,replicate,thickness_nm_from_name,n_despiked,substrate_subtracted,substrate_scale,auc_101,auc_101_net,height_101,noise_sd,auc_101_noise_floor,snr_simple,argmax_2theta,fit_center,fit_fwhm,fit_area,fit_amp,fit_amp_sd,fit_resid_sd,snr_fit,scherrer_nm,fit_ok,peak_detected,Dep Power (W),O2 Flow (sccm),Dep Press (mTorr),Dep Temp (°C),Ox Temp (°C),Ox Press (atm),Ox Time (min),Vac Ann Temp (°C),Vac Ann Time (min),Dep Thickness (nm),thickness_final_nm,crystallinity_pct,area_per_nm,crystallinity_pct_thk
scaling thickness,#14_9nm,14,,9.0,61,False,,156.07845670808416,154.72194249999936,120.47238025376731,35.08102134575067,27.678370106748694,3.4341183817431817,33.87085,33.56224530340194,1.9237341607618526,257.1130435742306,125.5587091502824,8.331959218724196,36.9343942233799,3.399506389380614,4.313302321116662,True,True,36,13.4,6.3,425,694.7,0.02,1.1,217.4,29.1,7.8,9.0,46.33364552451093,17.191326944444373,71.99048134189437
scaling thickness,#14_11nm,14,,11.0,63,False,,282.21776296543436,281.0543475000006,219.60584015126565,33.37612612933409,26.333234789047363,6.57972825546867,33.89259,33.790134715936766,1.6185775657693557,364.16179966318845,211.36285175146372,6.742772676197463,33.0258667682905,6.399918380171083,5.129592061073315,True,True,36,13.4,6.3,425,694.7,0.02,1.1,217.4,29.1,7.8,11.0,84.1656477405446,25.55039522727278,106.99495488807698
scaling thickness,#14_13nm,14,,13.0,64,False,,289.04797223089764,288.84202,272.17362533395016,32.6070130024841,25.72641671584747,8.347088563837943,33.74046,33.77207579892248,1.22216348208043,322.4507882602762,247.8574229056013,7.259827771997353,37.86486958268715,6.54584118834331,6.793072663802817,True,True,36,13.4,6.3,425,694.7,0.02,1.1,217.4,29.1,7.8,13.0,86.49777498278081,22.218616923076922,93.0427844349955
