sheet,sample,run,replicate,thickness_nm_from_name,n_despiked,substrate_subtracted,substrate_scale,auc_101,auc_101_net,height_101,noise_sd,auc_101_noise_floor,snr_simple,argmax_2theta,fit_center,fit_fwhm,fit_area,fit_amp,fit_amp_sd,fit_resid_sd,snr_fit,scherrer_nm,fit_ok,peak_detected,Dep Power (W),O2 Flow (sccm),Dep Press (mTorr),Dep Temp (°C),Ox Temp (°C),Ox Press (atm),Ox Time (min),Vac Ann Temp (°C),Vac Ann Time (min),Dep Thickness (nm),thickness_final_nm,crystallinity_pct,area_per_nm,crystallinity_pct_thk
sobol,01_02,2,1,,31,False,,74.58266163468859,69.04939213323821,63.52639682519837,31.749102977957335,25.049539297054157,2.0008879264810497,33.8127,33.92114329512055,1.3867126939359542,72.54410399994235,49.1454617423138,6.375810965902825,34.71427756072473,1.4157132222136841,5.989367613098947,True,False,28,11.5,9.7,25,476.8,0.02,14.3,155.4,18.1,5.1,8.5,20.678110311435933,8.123457898028025,
sobol,01_03,3,1,,31,False,,69.6587982646915,64.18260498653349,59.02487166449244,28.768736694539406,22.698077512829098,2.0517018974870713,33.46497,33.83763950206135,2.401709640981743,114.84305956701986,44.921271712546385,8.243105621438096,30.89427619334809,1.4540321783689651,3.4574074848548397,True,False,40,9.1,3.4,425,262.5,0.02,71.7,400.0,57.9,2.2,3.666666666666667,19.22066139881334,17.504346814509134,
sobol,01_05,5,1,,31,False,,41.63503453094965,32.756769823474464,36.56111055539579,28.323056416068006,22.346442833347215,1.2908603513091985,33.42151,33.49063466959311,2.4999999999952385,84.4542140921704,31.735774824646974,11.367719958752676,25.259806694618103,1.2563744136414414,3.3184340973244404,True,False,19,7.0,8.5,25,661.6,1.0,82.5,288.6,31.0,3.5,5.833333333333334,9.80961712956292,5.615446255452765,
sobol,01_07,7,1,,36,False,,183.28973830777622,181.16576769023624,205.38435439077622,26.462127386915586,20.878199309202728,7.761445305880063,33.89963,33.86449062848652,0.895992026488688,176.20643723187683,184.75041182139938,6.3113312293087915,27.00395332884833,6.841606100097591,9.268253252018186,True,True,23,1.6,7.3,25,364.3,0.02,118.0,474.1,117.0,8.6,14.333333333333334,54.253420822677946,12.639472164435086,52.93910171979978
sobol,01_08,8,1,,33,False,,61.1313170260699,53.19119355988583,66.51174671051265,29.392845616087307,23.19048956512583,2.2628549674724048,34.44295,33.49635560438983,2.4999999999999907,114.42200382870377,42.99691836007958,12.735637651646563,26.288428927853825,1.6355834149724455,3.3184839488712368,True,False,8,14.2,2.6,425,594.5,1.0,26.1,48.9,14.6,1.7,2.8333333333333335,15.929081112052334,18.773362432900882,
sobol,01_09,9,1,,31,False,,279.4565278126524,278.85349125012186,276.65273585600306,27.54437869438899,21.73207844634449,10.043890948695076,33.76923,33.8083998837352,0.9774795356996384,272.3823605464937,261.78158642925746,7.0833088470509065,32.081758838576256,8.1598265153244,8.494341216408216,True,True,7,8.7,7.6,425,429.6,1.0,81.0,229.6,42.4,9.6,16.0,83.50780614654252,17.428343203132616,72.99678512164006
sobol,01_12,12,1,,31,False,,63.90855533403318,58.75414741847001,60.038347274841506,27.26181261302048,21.509138284407655,2.2022874314001655,34.46468,34.19267429628373,1.2455282262079697,56.18157403440263,42.37484459475391,5.8452768486823095,28.716652107951056,1.4756192482138675,6.673122061240768,True,False,15,11.3,5.3,25,231.1,1.0,20.3,83.7,3.6,6.9,11.500000000000002,17.595009949242765,5.109056297258261,
sobol,01_14,14,1,,32,False,,283.35464711819714,282.1906630707085,290.7055970258116,25.415845060738594,20.052699128502184,11.437966997795492,33.8779,33.83502418431098,0.90229521105,277.7131368101309,289.14491655170286,6.378957150653852,28.737673717824787,10.061528270896828,9.20278767201668,True,True,36,13.4,6.3,425,694.7,0.02,1.1,217.4,29.1,7.8,13.0,84.50718361971637,21.706974082362194,90.91738120272923
sobol,01_15,15,1,,31,False,,98.41361454224415,93.06032845118064,97.04798185033752,28.693151976468155,22.638442367644146,3.382269815805826,33.96483,33.85937774439593,1.119449775209191,110.42410134167478,92.66741533615682,6.361265715619899,29.950856592693654,3.093982138686562,7.418080208356547,True,True,27,6.0,4.5,25,649.3,0.02,62.7,362.2,46.5,6.2,10.333333333333334,27.868626759505815,9.005838237211028,37.720007632382455
sobol,01_19,19,1,,32,False,,55.294404820888694,48.11056273112222,51.655304163836014,26.825720901635183,21.16506883245968,1.9255886674302694,34.44295,33.93366764833394,2.499999999999987,99.59251369492478,37.42436801776735,8.767431377666373,25.93478397520114,1.443018305205571,3.322323601261885,True,False,37,0.8,5.2,25,497.4,1.0,43.8,512.8,6.1,1.9,3.1666666666666665,14.407592776193622,15.19280928351228,
sobol,01_20,20,1,,26,False,,193.97520027921146,193.41695460606167,169.72898604182038,30.924398515769617,24.398860540921426,5.488513736338917,34.03003,33.860083777060915,1.194570913210894,202.84701065298927,159.52342516694188,6.312363303015,29.15447765277561,5.471661233887848,6.951603880515017,True,True,12,12.8,8.8,425,539.0,0.02,68.2,178.3,110.4,8.6,14.333333333333334,57.922264047287776,13.494206135306626,56.51906518968723
sobol,01_21,21,1,,33,False,,138.95796424259413,136.85333559788378,126.9329532240519,30.782253361140707,24.286710265707832,4.123575741348784,33.6823,33.791468524268424,1.3150819411423307,144.05018028550964,102.90317669944118,6.157904224036936,34.502072673315816,2.9825215914934677,6.313425593435187,True,False,17,3.1,6.1,425,576.5,0.02,54.5,454.7,24.7,5.4,9.000000000000002,40.98324811492139,15.20592617754264,
sobol,01_22,22,1,,31,False,,102.01109791453779,99.21065883165157,84.56004240107919,29.667226004943444,23.406971345343827,2.850284768349726,33.72577,33.99346779750224,1.1585747002780067,101.72440735831901,82.48384882140353,6.159462780311298,30.570368465314512,2.698163383767868,7.17013134063216,True,False,32,10.7,3.9,25,384.9,1.0,86.4,116.8,98.5,7.2,12.0,29.710456298189538,8.267554902637631,
sobol,01_23,23,1,,31,False,,145.38635937684262,141.71448180711954,147.4095565669575,32.31027247186369,25.492293137994945,4.562312394466005,33.4867,33.62313016627805,1.076623141275102,158.42078945026245,138.23443842600486,6.406894047297728,30.74293980026291,4.4964612793738965,7.708340616942277,True,True,21,8.1,9.1,425,280.5,1.0,30.0,263.1,67.1,9.0,15.0,42.43900774508052,9.447632120474635,39.57041491371553
sobol,02_02,2,2,,33,False,,82.41728969128664,79.94879444300275,65.68733365009108,32.32009603088637,25.500043770444197,2.0323990865410066,33.50844,33.87376110554738,1.4394862210846011,85.83831618977968,56.01978885822729,5.5833677109104425,26.820770815024204,2.088671844839249,5.769062218707461,True,False,28,11.5,9.7,25,476.8,0.02,14.3,155.4,18.1,5.1,8.5,23.94213677607356,9.405740522706207,
sobol,02_03,3,2,,31,False,,55.521025258252436,45.80758009523998,45.60609779478268,30.924797573119015,24.39917539084845,1.474741999101239,33.18244,33.53505675288871,1.8535456974009799,76.76297102245516,38.9059717833517,6.564401531558359,29.93716734517045,1.2995876107706672,4.476314567528256,True,False,40,9.1,3.4,425,262.5,0.02,71.7,400.0,57.9,2.2,3.666666666666667,13.717922273400433,12.492976389610902,
sobol,02_05,5,2,,28,False,,52.32293578559761,47.89413993218041,52.04057604061166,30.804520477106877,24.304278667461226,1.6893811438904518,33.42151,34.46170025173059,2.4999999999401603,105.06617841656282,39.481233894956155,11.468884986868108,30.165007559176857,1.3088421681149256,3.3270363093551794,True,False,19,7.0,8.5,25,661.6,1.0,82.5,288.6,31.0,3.5,5.833333333333334,14.342780988976248,8.210423988373783,
sobol,02_07,7,2,,34,False,,199.89361883043236,195.80144823376722,228.1373549062022,32.1510266053872,25.366650672034073,7.09580312026415,33.8779,33.83704772433689,0.8324448144625545,192.13045540847244,216.8245979173905,8.111011251141397,34.22436309641186,6.335387376138573,9.975046634983304,True,True,23,1.6,7.3,25,364.3,0.02,118.0,474.1,117.0,8.6,14.333333333333334,58.63634451559181,13.660566155844224,57.215846664006136
sobol,02_08,8,2,,31,False,,49.23780770885135,42.264897024532885,43.26673772876369,28.321676650976094,22.345354220547208,1.5276898420232659,33.8127,33.83111993092527,1.4630267790782703,48.50937324640085,31.14878978683853,5.707681698928818,29.812876775505167,1.0448099330162923,5.675593447173816,True,False,8,14.2,2.6,425,594.5,1.0,26.1,48.9,14.6,1.7,2.8333333333333335,12.657000676970119,14.9170224792469,
sobol,02_09,9,2,,29,False,,307.09810295201044,305.36804576094306,327.1098810352421,33.2327896438354,26.220144572649854,9.842985934703803,33.79096,33.76885524363703,0.8603769858293522,285.5156901747593,311.751810452341,7.997543805142422,33.286082718133315,9.365830551232374,9.649461401178552,True,True,7,8.7,7.6,425,429.6,1.0,81.0,229.6,42.4,9.6,16.0,91.44807710469077,19.08550286005894,79.93762430405636
sobol,02_12,12,2,,34,False,,59.27254391492015,53.397848668593184,50.11500236873658,30.28555734768213,23.89482497948545,1.6547492190224486,33.89963,34.02228422591475,1.2650819174930765,63.544883576497305,47.1877999969259,5.954956244325781,32.76906833555956,1.4400104242731784,6.566983139480042,True,False,15,11.3,5.3,25,231.1,1.0,20.3,83.7,3.6,6.9,11.500000000000002,15.990967784798515,4.643291188573319,
sobol,02_14,14,2,,37,False,,112.83391540592247,107.11697944300204,138.32229245074626,33.85854800954213,26.713858010258274,4.0852990037187595,33.79096,33.81232576932071,0.7270777101000568,93.75915198185848,121.14364306244914,8.232310459039208,32.26393296012008,3.7547698605805144,11.419867570259388,True,True,36,13.4,6.3,425,694.7,0.02,1.1,217.4,29.1,7.8,13.0,32.078149404649004,8.239767649461696,34.51140143096824
sobol,02_15,15,2,,28,False,,88.04356379170297,79.91078307070826,84.09146421262778,31.688549716095856,25.001763732698308,2.6536861095260043,33.85616,33.88783523050984,1.1294218102792146,92.98406205642013,77.34284341394788,6.402987383485977,32.857370656458805,2.3538963060254647,7.353139610671833,True,False,27,6.0,4.5,25,649.3,0.02,62.7,362.2,46.5,6.2,10.333333333333334,23.93075357160048,7.733301587487896,
sobol,02_19,19,2,,28,False,,45.32763805309933,32.43969745935678,47.22415437493838,27.54755447687816,21.734584088419375,1.7142775564551702,34.39949,34.05727928985218,1.4321469508133255,25.541443426983832,16.754275176496456,5.682159768081623,30.80163191754315,0.5439411529021622,5.801463521861015,True,False,37,0.8,5.2,25,497.4,1.0,43.8,512.8,6.1,1.9,3.1666666666666665,9.714663979080699,10.244114987165299,
sobol,02_20,20,2,,30,False,,235.61032825574856,234.57298641318138,234.32965741539584,31.21537483641483,24.628436248417007,7.506866684875895,33.85616,33.84642930481679,1.0191552085287026,239.08946938547987,220.38798271903556,6.6496450064791555,32.69816533013199,6.740071820358183,8.147809670136214,True,True,12,12.8,8.8,425,539.0,0.02,68.2,178.3,110.4,8.6,14.333333333333334,70.24719464257001,16.365557191617306,68.54541752985867
sobol,02_21,21,2,,33,False,,140.2438059767565,138.63407866859293,122.31246789007396,28.51519152980689,22.498034394384,4.289379145927212,33.7475,33.81142697056432,1.3052966645999684,167.8430353574385,120.79859595228848,5.8655616039889775,26.632315484834525,4.535790214000578,6.361091385424951,True,True,17,3.1,6.1,425,576.5,0.02,54.5,454.7,24.7,5.4,9.000000000000002,41.516524375795576,15.403786518732545,64.51714207495226
sobol,02_22,22,2,,28,False,,80.65663267773814,73.19607801635458,77.12287268700862,28.750413495019846,22.683620798674635,2.6824961213294505,33.96483,34.02384421130404,1.094345579267224,74.74191004744436,64.16194108153805,6.735259742334297,32.36618553757079,1.9823757423332637,7.59157471088572,True,False,32,10.7,3.9,25,384.9,1.0,86.4,116.8,98.5,7.2,12.0,21.919911657818517,6.099673168029548,
sobol,02_23,23,2,,32,False,,220.00167929443174,217.920884606062,214.7869677115504,33.24807932448052,26.23220788846779,6.460131594831796,33.50844,33.65482020166292,1.0370737571682678,230.48208614095455,208.78309020613423,6.96356994837147,35.63610551498549,5.8587516000685875,8.002971469515293,True,True,21,8.1,9.1,425,280.5,1.0,30.0,263.1,67.1,9.0,15.0,65.26041651973806,14.528058973737467,60.8492492246659
sobol,03_02,2,3,,38,False,,64.66639356751996,60.0596811957695,61.03499408857828,28.381971316710406,22.392925756655266,2.150484665335519,34.39949,33.958356243183154,1.3420636847017602,72.76785351275595,50.93710161454059,5.74979826159173,27.607466785820822,1.8450480085591139,6.189240713028607,True,False,28,11.5,9.7,25,476.8,0.02,14.3,155.4,18.1,5.1,8.5,17.98597604797703,7.065844846561117,
sobol,03_03,3,3,,33,False,,73.05007751062763,71.11441707888477,64.03787512520964,29.854098594304617,23.554410858012737,2.1450279238183527,34.42122,33.675039829047805,2.4999999999998965,157.03551627237073,59.01000722644675,9.852153627677929,30.842946065073797,1.9132415918357752,3.3200459033428222,True,False,40,9.1,3.4,425,262.5,0.02,71.7,400.0,57.9,2.2,3.666666666666667,21.29652000778128,19.394841021514026,
sobol,03_05,5,3,,31,False,,36.806729140883974,30.71811877729811,45.91392539243924,29.626744565308755,23.37503213075769,1.5497458821784238,34.48642,34.30927436559077,1.8302063412275287,42.19573408356596,21.65889424993054,5.644563304387153,25.860797276003556,0.8375184267821474,4.542749094553109,True,False,19,7.0,8.5,25,661.6,1.0,82.5,288.6,31.0,3.5,5.833333333333334,9.199105582437126,5.26596321896539,
